nombre_audio,cluster
Entrevista Bossuet  Canon (1).wav,23
C0026.5.wav,1
CRIOLLA FUGA 1_16.wav,11
Entrevista Bossuet  Canon (1).wav,23
Entrevista Bossuet  Canon (1).1.wav,22
Entrevista Bossuet  Canon (2).wav,22
ASCENSO-AVrT_03.R.wav,1
Entrevista Bossuet  Canon (2).1.wav,22
Entrevista Bossuet  Canon (3).wav,22
CRUZ DEL SUR 01.10.wav,5
Diego Dumas l 1-2.wav,7
Diego Dumas l 1-2.1.wav,7
Diego Dumas l 1-2.2.wav,7
CRIOLLA FUGA 1_02.wav,24
CRUZ DEL SUR 01.6.wav,5
Diego Dumas l 1-2.3.wav,7
Diego Dumas l 1-2.4.wav,7
Diego Dumas l 1-2.5.wav,7
CRUZ DEL SUR 01.28.wav,5
AVENTURAS V3.4-AVrT_01.R.wav,4
Diego Dumas l 1-2.6.wav,7
Diego Dumas l 1-2.7.wav,7
AVENTURAS V3.4-AVrT_01.L.wav,4
40 bramadores + mid-AVrT_01.L.wav,-1
Diego Dumas l 1-2.8.wav,7
Diego Dumas l 1-2.8.wav,7
Diego Dumas l 1-2.21.wav,7
Diego Dumas l 1-2.8.wav,7
Diego Dumas l 1-2.2.wav,7
Dumas en Iglesia St. Ferdinand (2).wav,21
Diego Dumas l 1-2.9.wav,7
Diego Dumas l 1-2.10.wav,7
Diego Dumas l 1-2.10.wav,7
Diego Dumas l 1-2.10.wav,7
Diego Dumas l 1-2.13.wav,7
Cufr__ 7-Caminando junto al LEHG I-Tr1.wav,6
Cufr__ 7-Caminando junto al LEHG I-Tr1.1.wav,6
CRIOLLA FUGA 1_19.wav,11
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr1.wav,6
Boat Horn-SoundBible.com-15322206.L.wav,25
Cufr__ 13-Patio del museo-Tr1.wav,26
C0026.14.wav,1
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,6
CHACARERA.R.wav,1
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,6
CRIOLLA FUGA 1_10.wav,11
