nombre_audio,cluster
CRUZ DEL SUR 01.27.wav,1188
CRUZ DEL SUR 01.28.wav,1192
CRUZ DEL SUR 01.29.wav,-1
CRUZ DEL SUR 01.30.wav,1184
CRUZ DEL SUR 01.31.wav,-1
CRUZ DEL SUR 01.32.wav,1185
CRUZ DEL SUR 01.33.wav,-1
STE-Dd_01.wav,-1
STE-Dd_02.wav,-1
STE-035.wav,-1
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
C_AGN_371_L1_02.4.wav,526
C_AGN_371_L1_02.4.wav,526
C_AGN_371_L1_02.5.wav,-1
C_AGN_371_L1_02.7.wav,815
Diego Dumas l 1-2.8.wav,1209
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,1193
Cufr__ 7-Caminando junto al LEHG I-Tr2.1.wav,1198
Alonso 1-2.5.wav,-1
Cufr__ 7-Caminando junto al LEHG I-Tr2.2.wav,-1
Cufr__ 8-Caminando junto al LEHG I-Tr2.wav,1193
Cufr__ 13-Patio del museo-Tr2.wav,1303
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,1197
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,1197
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,1197
Cufr__ 8-Caminando junto al LEHG I-Tr2.2.wav,-1
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,1291
Cufr__ 9-Cubierta LEHG I-Tr2.1.wav,1213
Dumas en Iglesia St. Ferdinand (4).1.wav,1295
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,1210
Dumas yendo al fondeadero (2).wav,1294
Dumas yendo al fondeadero (2).1.wav,1294
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,1210
Diego Dumas l 1-2.4.wav,1207
Alvarez Forn 3-4.3.wav,1228
Alvarez Forn 3-4.3.wav,1228
Alvarez Forn 3-4.4.wav,-1
Alvarez Forn 3-4.5.wav,1227
Alvarez Forn 1-2.1.wav,-1
Alvarez Forn 1-2.9.wav,-1
Voz off 1.wav,-1
Voz off 1.1.wav,-1
Voz off 1.2.wav,-1
Voz off 1.3.wav,-1
Voz off 1.4.wav,-1
Voz off 1.5.wav,-1
Voz off 1.6.wav,1316
Voz off 1.7.wav,-1
Voz off 1.8.wav,-1
Voz off 1.9.wav,-1
Voz off 1.10.wav,-1
Voz off 1.11.wav,-1
C_AGN_371_L1_02.2.wav,-1
Diego Dumas l 1-2.19.wav,1202
ENS ACTO 1 EXTRAS V1_04.L.wav,-1
CufrÃ© 9-Cubierta LEHG I-Tr3.wav,1291
Diego Dumas l 1-2.3.wav,1208
Cufr__ 9-Cubierta LEHG I-Tr3.2.wav,-1
Cufr__ 9-Cubierta LEHG I-Tr3.3.wav,1215
Cufr__ 9-Cubierta LEHG I-Tr3.wav,-1
Cufr__ 9-Cubierta LEHG I-Tr3.1.wav,-1
EL NAVEGANTE SOLITARIO-VFinal Bafici.R.wav,1315
Alvarez Forn 1-2.2.wav,1174
Diego Dumas l 1-2.8.wav,1209
Alvarez Forn 1-2.2.wav,1174
EL NAVEGANTE SOLITARIO-VFinal Bafici.L.wav,1315
Alvarez Forn 1-2.3.wav,1173
ENS ACTO 1 EXTRAS V1_04.R.wav,-1
Diego Dumas l 1-2.8.wav,1209
Alvarez Forn 1-2.4.wav,1172
Voz off 1.12.wav,-1
Voz off 1.13.wav,-1
Voz off 1.14.wav,-1
Voz off 1.15.wav,-1
Voz off 1.16.wav,-1
Voz off 1.17.wav,1316
Voz off 1.18.wav,1317
Voz off 1.19.wav,-1
Voz off 1.20.wav,1317
Voz off 1.21.wav,-1
Voz off 1.22.wav,-1
Voz off 1.23.wav,-1
C_AGN_371_L1_02.6.wav,-1
Alvarez Forn 1-2.6.wav,1175
CRIOLLA FUGA 1_11.wav,-1
Alvarez Forn 1-2.6.wav,1175
Alvarez Forn 1-2.7.wav,1173
Alvarez Forn 1-2.8.wav,-1
Alonso 1-2.wav,1308
VERTIGO.wav,-1
VERTIGO.2.wav,-1
OFF VITO_14.wav,0
CHACARERA.aif,359
OFF VITO_02.wav,1
OFF VITO_01.wav,10
OFF VITO_01.wav,10
Alvarez Forn 1-2.2.wav,1174
OFF VITO_01.wav,10
OFF VITO_07.wav,33
OFF VITO_07.wav,33
CHACARERA.aif,359
OFF VITO_07.wav,33
AVENTURAS V3.4.wav,1318
OFF VITO_08.wav,18
OFF VITO_08.wav,18
ASCENSO.L.wav,-1
OFF VITO_08.wav,18
OFF VITO_14.wav,0
Alvarez Forn 3-4.3.wav,1228
OFF VITO_12.wav,29
OFF VITO_15.wav,9
CHACARERA.aif,359
OFF VITO_15.wav,9
OFF VITO_15.wav,9
ASCENSO-AVrT_01.R.wav,-1
OFF VITO_15.wav,9
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_20.wav,7
OFF VITO_20.wav,7
OFF VITO_20.wav,7
OFF VITO_18.wav,26
OFF VITO_21.wav,17
OFF VITO_21.wav,17
OFF VITO_18.wav,26
OFF VITO_24.wav,60
OFF VITO_24.wav,60
CHACARERA.aif,359
OFF VITO_24.wav,60
OFF VITO_24.wav,60
OFF VITO_24.wav,60
40 BR LENTO TORMENTA-PiSh_01.L.wav,1230
OFF VITO_24.wav,60
OFF VITO_26.wav,59
CAMPANA IGLESIA.aif-AVrP_01.R.wav,1313
OFF VITO_26.wav,59
ASCENSO.R.wav,-1
AVENTURAS V3.4.wav,1318
OFF VITO_26.wav,59
01 - CRUZ DEL SUR-Ãltima.R.wav,1177
Alvarez Forn 3-4.4.wav,-1
OFF VITO_26.wav,59
Audio 14_01.wav,1319
AVENTURAS V3.4.wav,1318
OFF VITO_26.wav,59
OFF VITO_26.wav,59
OFF VITO_26.wav,59
OFF VITO_26.wav,59
OFF VITO_27.wav,5
ASCENSO-AVrT_01.L.wav,-1
OFF VITO RUEGO-AVrP_01.wav,1220
Alvarez Forn 1-2.9.wav,-1
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
AVENTURAS V3.4.wav,1318
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
CRIOLLA FUGA 1_05.wav,-1
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
